recipe,xpname,transfection_date,calibration,calibration_diagnostics,n_repeats,best_repeat,network_loaded,architecture,sequestron_type,colors
(Csy4)+(Csy4R_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(Csy4)+(Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R1w_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R1x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R2x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R3x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R4x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R5x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R6x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R8x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Csy4R_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(Inert)+(Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(P-NG-B+I)+(C31NLS+B)+(C31NLSRDF+R),2022-12-19_RECOMB_v3_1,['2022-12-17-18-30'],no,[False],1,0,False,unknown,unknown,
(P-NG-B+I)+(C31p+B)+(C31RDF+R),2022-12-19_RECOMB_v3_1,['2022-12-17-18-30'],no,[False],1,0,False,unknown,unknown,
(P-NG-B+I)+(C31p+B)+(RDF+R),2022-12-19_RECOMB_v3_1,['2022-12-17-18-30'],no,[False],1,0,False,unknown,unknown,
(P-invNG-B+I)+(C31NLS+B)+(C31NLSRDF+R),2022-12-19_RECOMB_v3_1,['2022-12-17-18-30'],no,[False],1,0,False,unknown,unknown,
(P-invNG-B+I)+(C31p+B)+(C31RDF+R),2022-12-19_RECOMB_v3_1,['2022-12-17-18-30'],no,[False],1,0,True,no device,none,"iRFP720,mKate,tagBFP"
(P-invNG-B+I)+(C31p+B)+(RDF+R),2022-12-19_RECOMB_v3_1,['2022-12-17-18-30'],no,[False],1,0,False,unknown,unknown,
(Pc_NG_Bc)+(B+C31NLSns)+(C31NLS-RDF),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_NG_Bc)+(B+C31NLSns)+(C31NLS-RDFNLSns),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_NG_Bc)+(B+C31NLSns)+(R+Inert),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_NG_Bc)+(B+Inert)+(R+C31NLS-RDF),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_NG_Bc)+(B+Inert)+(R+C31NLS-RDFNLSns),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_iNG_Bc)+(B+C31NLSns)+(C31NLS-RDF),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_iNG_Bc)+(B+C31NLSns)+(C31NLS-RDFNLSns),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_iNG_Bc)+(B+C31NLSns)+(R+Inert),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_iNG_Bc)+(B+Inert)+(R+C31NLS-RDF),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(Pc_iNG_Bc)+(B+Inert)+(R+C31NLS-RDFNLSns),2023-03-26_RECOMB_INT_1,['2023-03-23-16-30'],old,[False],1,0,False,unknown,unknown,
(R+CasE0x)+(Inert_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,no device,none,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER1w_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER1x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER2x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER3x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER4x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER5x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER6x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER8x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE0x)+(L2CasER_Y+B),"2023-01-22_CasE_ALLuORFs,2023-02-16_Matrix","['2023-01-19-19-00', '2023-02-13-10-00']","no,old","[False, False]",2,1,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER1w_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER1x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER2x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER3x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER4x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER5x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER6x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER8x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1w)+(L2CasER_Y+B),"2023-01-22_CasE_ALLuORFs,2023-02-16_Matrix","['2023-01-19-19-00', '2023-02-13-10-00']","no,old","[False, False]",2,1,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER1w_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER1x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER2x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER3x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER4x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER5x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER6x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER8x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE1x)+(L2CasER_Y+B),"2023-01-22_CasE_ALLuORFs,2023-02-16_Matrix","['2023-01-19-19-00', '2023-02-13-10-00']","no,old","[False, False]",2,1,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER1w_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER1x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER2x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER3x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER4x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER5x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER6x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER8x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE2x)+(L2CasER_Y+B),"2023-01-22_CasE_ALLuORFs,2023-02-16_Matrix","['2023-01-19-19-00', '2023-02-13-10-00']","no,old","[False, False]",2,1,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER1w_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER1x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER2x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER3x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER4x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER5x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER6x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER8x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE3x)+(L2CasER_Y+B),"2023-01-22_CasE_ALLuORFs,2023-02-16_Matrix","['2023-01-19-19-00', '2023-02-13-10-00']","no,old","[False, False]",2,1,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE4x)+(L2CasER1w_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE4x)+(L2CasER1x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE4x)+(L2CasER2x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE4x)+(L2CasER3x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE4x)+(L2CasER4x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(R+CasE4x)+(L2CasER5x_Y+B),2023-02-16_Matrix,['2023-02-13-10-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
